"ID1,N,4,0","HHID,C,15","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","QH91,N,1,0","QH93,N,1,0","QH95,N,1,0","QH96,N,2,0","QH96A,N,2,0","QH96M,N,2,0","QH96AC,N,1,0","QH97D,N,2,0","QH97M,N,2,0","QH97A,N,4,0","QH99,N,1,0","QH101,N,1,0","QH103,N,1,0","QH106,N,1,0","QHVIOLEN,N,2,0"
2019,      000100201,1,2,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000102801,1,28,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,6
2019,      000104801,1,48,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000113601,1,136,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000113701,1,137,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      000116701,1,167,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      000119101,1,191,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      000120701,1,207,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000122201,1,222,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      000200301,2,3,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,3
2019,      000203001,2,30,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000204001,2,40,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,3
2019,      000204601,2,46,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000205201,2,52,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
2019,      000207701,2,77,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
2019,      000208001,2,80,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2
2019,      000209401,2,94,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      000211301,2,113,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000211701,2,117,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      000301001,3,10,1,0,2,2,0,0,0,0,0,0,0,1,1,2,2,2
2019,      000305001,3,50,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000308301,3,83,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000310401,3,104,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000311501,3,115,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000316001,3,160,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000320001,3,200,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000322501,3,225,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000325801,3,258,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,4
2019,      000400101,4,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000400601,4,6,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      000401301,4,13,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000403801,4,38,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      000406001,4,60,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000409001,4,90,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000413001,4,130,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000413101,4,131,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000415901,4,159,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000417401,4,174,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,4
2019,      000500501,5,5,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000500801,5,8,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000501101,5,11,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,5
2019,      000502401,5,24,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      000503401,5,34,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,6
2019,      000505801,5,58,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
2019,      000508001,5,80,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,5
2019,      000509801,5,98,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000512001,5,120,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      000600101,6,1,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      000602501,6,25,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      000606601,6,66,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,6
2019,      000610401,6,104,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000610701,6,107,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      000611601,6,116,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000612701,6,127,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000613201,6,132,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      000617801,6,178,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      000701901,7,19,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      000702001,7,20,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000702501,7,25,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000706201,7,62,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      000711701,7,117,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,2
2019,      000712001,7,120,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000712101,7,121,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000713701,7,137,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,3
2019,      000717501,7,175,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000800201,8,2,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      000801101,8,11,1,0,2,1,2,3,0,2,0,0,0,0,1,2,2,2
2019,      000801201,8,12,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      000801601,8,16,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      000803701,8,37,1,0,2,1,2,5,0,2,0,0,0,0,2,2,0,2
2019,      000803901,8,39,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      000805501,8,55,1,2,2,1,2,8,0,2,0,0,0,0,1,2,2,2
2019,      000806301,8,63,1,2,2,1,2,8,0,2,0,0,0,0,2,2,0,2
2019,      000808601,8,86,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      000808701,8,87,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      000903001,9,30,1,0,2,1,2,5,0,2,0,0,0,0,1,2,2,2
2019,      000903401,9,34,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,7
2019,      000906701,9,67,1,2,2,1,2,0,3,2,0,0,0,0,2,2,2,2
2019,      000910501,9,105,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000911301,9,113,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      000913801,9,138,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      000915501,9,155,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      000915601,9,156,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      000916101,9,161,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,3
2019,      001001501,10,15,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001003201,10,32,1,0,2,1,1,2,1,2,0,0,0,0,2,2,0,2
2019,      001009301,10,93,1,2,2,1,2,3,1,2,0,0,0,0,1,2,0,2
2019,      001014601,10,146,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,4
2019,      001019101,10,191,1,0,2,1,2,0,6,2,0,0,0,0,1,2,2,2
2019,      001022701,10,227,1,2,2,1,2,2,0,2,0,0,0,0,1,2,2,2
2019,      001024301,10,243,1,2,2,1,2,11,2,1,28,11,2007,0,1,2,2,2
2019,      001027501,10,275,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001029501,10,295,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      001102101,11,21,1,0,2,1,2,3,6,2,0,0,0,0,1,2,2,2
2019,      001102701,11,27,1,0,2,1,2,4,0,2,0,0,0,0,2,2,0,0
2019,      001104301,11,43,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001104501,11,45,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,4
2019,      001106901,11,69,1,0,2,1,2,1,9,2,0,0,0,0,1,2,2,2
2019,      001107501,11,75,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001107701,11,77,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      001109501,11,95,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001110901,11,109,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001113201,11,132,1,0,2,1,1,5,0,2,0,0,0,0,2,2,0,2
2019,      001200401,12,4,1,0,2,2,0,0,0,0,0,0,0,0,2,2,1,2
2019,      001201301,12,13,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001202101,12,21,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001205101,12,51,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,1
2019,      001205301,12,53,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001205601,12,56,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001206101,12,61,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001208401,12,84,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001208501,12,85,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001209801,12,98,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001300601,13,6,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      001303101,13,31,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      001303401,13,34,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001303402,13,34,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001303403,13,34,3,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001307601,13,76,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001307801,13,78,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,6
2019,      001308001,13,80,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,5
2019,      001308601,13,86,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,5
2019,      001308801,13,88,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      001310401,13,104,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      001310402,13,104,2,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001311001,13,110,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,7
2019,      001400901,14,9,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001401301,14,13,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001404101,14,41,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001404901,14,49,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001405101,14,51,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001405201,14,52,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001406501,14,65,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      001407401,14,74,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001409601,14,96,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001409701,14,97,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001504501,15,45,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001505001,15,50,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      001507701,15,77,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001508801,15,88,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,3
2019,      001511301,15,113,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001514101,15,141,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001514501,15,145,1,2,2,2,0,0,0,0,0,0,0,0,1,2,0,2
2019,      001515001,15,150,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001518301,15,183,1,2,2,2,0,0,0,0,0,0,0,0,1,2,0,1
2019,      001600701,16,7,1,2,2,1,3,0,11,2,0,0,0,0,2,2,0,3
2019,      001601701,16,17,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,2
2019,      001602601,16,26,1,0,2,1,1,3,0,2,0,0,0,0,2,2,0,1
2019,      001603501,16,35,1,0,2,8,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001605101,16,51,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001607101,16,71,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001610201,16,102,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      001610301,16,103,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001610601,16,106,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001701901,17,19,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2
2019,      001704201,17,42,1,2,2,2,0,0,0,0,0,0,0,2,1,2,2,4
2019,      001704601,17,46,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0
2019,      001706201,17,62,1,2,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001707401,17,74,1,2,2,1,2,3,4,2,0,0,0,0,1,2,2,2
2019,      001710801,17,108,1,2,2,2,0,0,0,0,0,0,0,1,1,2,0,3
2019,      001712201,17,122,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0
2019,      001714101,17,141,1,0,2,2,0,0,0,0,0,0,0,0,1,2,2,1
2019,      001714901,17,149,1,2,2,1,2,8,0,2,0,0,0,0,2,1,0,2
2019,      001715801,17,158,1,0,2,1,2,5,6,2,0,0,0,0,1,2,2,2
2019,      001802201,18,22,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001803101,18,31,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001803201,18,32,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001803601,18,36,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001805101,18,51,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001806701,18,67,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001807701,18,77,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
2019,      001808101,18,81,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,2
2019,      001901001,19,10,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001901101,19,11,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2
2019,      001901601,19,16,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001902001,19,20,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,1
2019,      001902601,19,26,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2
2019,      001905501,19,55,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1
2019,      001906401,19,64,1,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2
2019,      001907501,19,75,1,0,2,2,0,0,0,0,0,0,0,2,2,2,0,3
2019,      001907801,19,78,1,0,2,2,0,0,0,0,0,0,0,2,2,2,2,4
2019,      001910101,19,101,1,2,2,2,0,0,0,0,0,0,0,0,2,2,0,3
2019,      002006701,20,67,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,4
