HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044
"0002003","PE6",2,3,2,2,322759,4,2010,1324,2,0,0,2,2,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002007","PE6",2,7,1,2,322759,4,2010,1324,1,0,0,0,1,0,1,17,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002011","PE6",2,11,1,2,322759,4,2010,1324,3,1,0,3,3,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,1,1,0,1
"0002015","PE6",2,15,2,2,322759,4,2010,1324,4,1,0,4,4,1,1,15,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,1,2339,1,1,0,1
"0002019","PE6",2,19,2,2,322759,4,2010,1324,5,1,0,5,5,1,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,1,2339,1,1,0,1
"0002023","PE6",2,23,1,2,322759,4,2010,1324,1,0,0,1,1,0,1,18,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002028","PE6",2,28,2,2,322759,4,2010,1324,2,0,0,2,2,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002032","PE6",2,32,1,2,322759,4,2010,1324,1,0,0,1,1,0,1,19,2,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002036","PE6",2,36,2,2,322759,4,2010,1324,2,1,0,2,2,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,1,1,0,1
"0002040","PE6",2,40,1,2,322759,4,2010,1324,4,2,0,2,4,0,1,18,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,1,2339,2,1,0,1
"0002044","PE6",2,44,1,2,322759,4,2010,1324,5,2,0,5,5,1,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,1,2339,2,1,0,1
"0002048","PE6",2,48,1,2,322759,4,2010,1324,2,0,0,2,1,0,1,19,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002052","PE6",2,52,2,2,322759,4,2010,1324,5,3,0,5,4,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,3,1,0,1
"0002056","PE6",2,56,2,2,322759,4,2010,1324,3,0,0,3,3,0,1,15,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,0,1,0,1
"0002060","PE6",2,60,2,2,322759,4,2010,1324,3,1,0,3,2,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,1,1,0,1
"0002064","PE6",2,64,2,2,322759,4,2010,1324,4,1,0,4,3,0,1,15,1,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,1,1,0,1
"0002069","PE6",2,69,2,2,322759,4,2010,1324,2,1,0,2,2,0,1,19,1,27,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,0,2339,1,1,0,1
"0002073","PE6",2,73,1,2,322759,5,2010,1325,5,2,0,4,5,1,1,13,2,26,0,0,2,1,1,1,1,1,0,nan,1,nan,0,nan,1,2339,2,1,0,1
