HHID,SH81A,SH81B,SH81C,SH81D,SH81E,SH81F,SH81G
"000100301",0,0,0,0,0,0,0
"000101101",0,1,0,0,0,0,0
"000101901",1,0,0,0,0,0,0
"000102701",0,1,0,0,0,0,0
"000103601",0,0,0,0,0,0,0
"000104401",0,0,0,0,0,0,0
"000105201",0,0,0,0,0,0,0
"000106001",0,0,0,0,0,0,0
"000106801",0,0,0,0,0,0,0
"000107601",1,0,0,0,0,0,0
"000108401",0,0,0,0,0,0,0
"000109201",0,0,0,0,0,0,0
"000110101",0,1,0,0,0,0,0
"000110901",1,0,1,1,0,0,0
"000111701",0,1,0,0,1,0,0
"000112501",0,0,0,0,0,0,0
"000200301",1,0,0,0,0,0,1
"000201101",1,0,0,0,0,0,0
"000201801",1,0,0,0,0,0,0
"000202601",1,0,0,0,0,0,0
"000203301",0,1,0,0,0,0,0
"000204101",0,0,0,0,0,0,0
"000204801",1,0,0,0,0,0,0
"000205601",0,0,1,0,0,1,0
"000206301",1,0,0,0,0,0,0
"000207101",0,0,0,0,0,0,0
"000207801",1,0,0,0,0,0,0
"000208601",0,0,0,0,0,0,0
"000209301",0,0,1,0,0,0,0
"000210101",0,1,0,0,0,0,0
"000210801",0,0,0,0,0,0,0
"000211601",0,0,0,0,0,0,0
"000300501",0,0,0,0,0,0,0
"000301601",0,0,0,0,0,0,0
"000302701",1,0,0,0,0,0,0
"000303901",0,0,0,0,0,0,0
"000305001",0,0,0,0,0,0,0
"000306101",0,0,0,0,0,0,0
"000307201",0,0,0,0,0,0,0
"000308301",0,0,0,0,0,0,0
"000309501",1,0,0,0,0,0,0
"000310601",0,0,0,0,0,0,0
"000311701",0,1,0,0,0,0,0
"000312801",0,0,0,0,0,0,0
"000313901",1,0,1,0,0,0,0
"000315001",1,1,1,1,0,1,0
"000316201",0,0,0,0,0,0,0
"000317301",0,0,0,0,0,0,0
"000400101",0,0,0,0,0,0,0
"000401001",0,0,0,0,0,0,0
"000401901",0,0,0,0,0,0,0
"000402801",0,0,0,0,0,0,0
"000403801",0,0,0,0,0,0,0
"000404701",0,0,0,0,0,0,0
"000405601",0,0,0,0,0,0,0
"000406501",0,0,0,0,0,0,0
"000407401",0,0,0,0,0,0,0
"000408301",0,0,0,0,0,0,0
"000409201",0,1,0,0,0,0,0
"000410101",0,0,0,0,1,0,0
"000411101",0,0,0,0,1,0,0
"000412001",0,0,0,0,0,0,0
"000412901",0,0,0,0,0,0,0
"000413801",0,0,0,0,1,0,0
"000500101",1,0,0,1,1,1,0
"000500201",0,0,0,0,0,0,0
"000500301",0,0,0,0,0,0,0
"000500401",0,0,0,0,0,0,0
"000500501",0,0,0,0,0,0,0
"000500601",0,0,0,0,0,0,0
"000500701",0,0,0,0,1,0,0
"000500801",0,0,0,0,0,0,0
"000500901",0,0,0,0,0,0,0
"000501801",0,0,0,0,0,0,0
"000501901",0,1,0,0,1,1,0
"000502001",0,0,0,0,1,0,0
"000502101",1,0,0,0,1,0,0
"000502201",0,0,0,0,0,0,0
"000502301",0,0,0,0,0,0,0
"000502401",0,0,0,0,0,0,0
"000502501",0,0,0,0,0,0,0
"000502601",0,0,0,0,0,0,0
"000503501",0,0,1,0,0,0,0
"000503601",0,0,0,0,0,0,0
"000503801",0,0,0,0,0,0,0
"000503901",0,0,0,0,0,0,0
"000504001",0,0,0,0,0,0,0
"000600101",0,1,0,0,0,0,0
"000600401",1,0,0,0,0,0,0
"000600701",0,0,0,0,0,0,0
"000600801",0,0,0,0,0,0,0
"000601201",0,0,0,0,1,0,0
"000601501",0,0,0,0,0,0,0
"000601801",0,0,0,0,0,0,0
"000601901",0,0,0,0,0,0,0
"000602301",0,0,0,0,0,0,0
"000602601",0,0,0,0,0,0,0
"000602901",1,0,1,1,0,0,0
"000603001",1,1,0,0,0,0,0
"000603401",0,0,0,0,0,0,0
"000603701",0,0,0,0,0,0,0
"000604001",0,0,0,0,0,0,0
"000604101",0,0,0,0,0,0,0
"000604401",1,0,0,0,0,0,0
"000604701",1,0,0,0,0,0,0
"000605001",0,0,0,0,0,0,0
"000605101",1,0,0,0,0,0,0
"000605501",1,0,0,0,0,0,0
"000605801",0,0,0,0,0,0,0
"000606101",0,0,0,0,0,0,0
"000606201",0,0,0,0,0,0,0
"000702501",1,0,0,0,0,0,0
"000702601",0,0,1,0,1,0,0
"000702701",1,0,0,0,0,0,0
"000702801",1,1,0,0,0,0,0
"000702901",0,0,0,0,0,0,0
"000703001",0,0,0,0,1,0,0
"000703101",0,1,0,0,1,0,0
"000704001",0,0,0,0,0,0,0
"000705701",1,0,0,0,0,0,0
"000705801",0,0,0,0,0,0,0
"000705901",0,0,0,0,0,0,0
"000706001",0,0,0,0,0,0,0
"000706101",0,0,0,0,0,0,0
"000706201",0,0,0,0,0,0,0
"000706301",0,0,0,0,0,0,0
"000706401",0,0,0,0,0,0,0
"000709601",1,0,1,1,1,1,0
"000709701",0,0,0,0,0,0,0
"000709801",1,1,0,0,0,0,0
"000709901",0,0,0,0,1,0,0
"000710001",0,1,0,0,0,0,0
