qhcluster,qhnumber,qhhome,ps104_1a,ps104_1m,ps104_1s,ps5,hvidx,hhid
7,65,1,0,1.0,no,1,2,      000706501
8,137,1,4,0.0,si,1,2,      000813701
8,137,1,3,0.0,no,2,3,      000813701
9,19,1,1,0.0,si,1,1,      000901901
9,19,1,1,0.0,si,2,2,      000901901
9,19,1,1,0.0,,3,3,      000901901
11,54,1,6,0.0,no,1,2,      001105401
17,2,1,0,8.0,no,1,1,      001700201
25,126,1,6,0.0,no,1,2,      002512601
27,64,1,0,1.0,si,2,1,      002706401
27,64,1,0,1.0,si,1,2,      002706401
27,64,1,0,1.0,si,3,3,      002706401
27,64,1,0,1.0,si,4,4,      002706401
27,64,1,0,1.0,,5,5,      002706401
30,56,1,1,2.0,no,1,1,      003005601
41,92,1,3,0.0,no,1,2,      004109201
41,93,1,2,0.0,no,1,2,      004109301
42,15,1,1,0.0,no,1,2,      004201501
42,24,1,0,2.0,no,1,2,      004202401
44,112,1,1,0.0,no,1,2,      004411201
44,119,1,0,4.0,no,1,2,      004411901
46,30,1,2,0.0,no,1,2,      004603001
48,2,1,1,0.0,no,1,2,      004800201
64,11,1,10,0.0,no,1,1,      006401101
70,36,1,0,1.0,si,1,4,      007003601
70,36,1,0,1.0,no,2,5,      007003601
72,2,1,0,6.0,si,1,1,      007200201
72,2,1,0,6.0,si,2,2,      007200201
72,2,1,0,6.0,no,3,4,      007200201
72,13,1,3,3.0,no,1,2,      007201301
96,26,1,1,0.0,no,1,1,      009602601
96,27,1,0,2.0,no,1,1,      009602701
96,28,1,1,0.0,no,1,2,      009602801
96,29,1,4,0.0,no,1,2,      009602901
96,30,1,6,0.0,no,2,1,      009603001
96,30,1,6,0.0,si,1,2,      009603001
96,58,1,18,0.0,si,1,2,      009605801
96,58,1,0,4.0,no,2,4,      009605801
97,4,1,6,0.0,no,1,2,      009700401
99,6,1,4,0.0,no,1,2,      009900601
99,10,1,18,0.0,no,1,1,      009901001
99,47,1,4,0.0,no,1,2,      009904701
99,48,1,2,0.0,no,1,2,      009904801
99,49,1,1,0.0,no,1,2,      009904901
99,53,1,3,0.0,no,1,2,      009905301
99,54,1,4,0.0,no,1,2,      009905401
101,43,1,12,0.0,no,1,2,      010104301
101,62,1,12,0.0,no,1,2,      010106201
101,63,1,5,0.0,no,1,2,      010106301
103,39,1,0,7.0,no,1,2,      010303901
103,52,1,18,0.0,no,1,2,      010305201
103,54,1,8,0.0,no,1,2,      010305401
103,61,1,10,0.0,no,1,2,      010306101
104,3,1,2,0.0,no,1,2,      010400301
104,12,1,4,0.0,no,1,1,      010401201
105,110,1,2,0.0,no,1,2,      010511001
108,68,1,5,0.0,no,1,1,      010806801
108,72,1,3,0.0,no,1,2,      010807201
123,172,1,1,6.0,no,1,1,      012317201
130,126,1,1,0.0,no,1,2,      013012601
132,125,1,1,0.0,no,1,2,      013212501
132,139,1,2,11.0,no,1,2,      013213901
132,185,1,2,0.0,no,1,2,      013218501
135,13,1,1,0.0,no,1,2,      013501301
135,14,1,1,0.0,no,1,2,      013501401
135,33,1,2,0.0,no,1,2,      013503301
135,45,1,2,0.0,no,1,2,      013504501
138,10,1,1,0.0,no,1,2,      013801001
140,104,1,2,0.0,si,1,3,      014010401
140,104,1,2,0.0,no,2,5,      014010401
141,77,1,1,0.0,si,1,1,      014107701
141,77,1,1,0.0,si,2,2,      014107701
141,77,1,1,0.0,si,3,3,      014107701
141,77,1,1,0.0,,4,4,      014107701
142,89,1,1,2.0,no,1,2,      014208901
142,91,1,5,6.0,no,1,2,      014209101
143,22,1,5,0.0,no,1,2,      014302201
144,40,1,1,0.0,no,1,2,      014404001
144,41,1,8,0.0,no,1,2,      014404101
144,42,1,10,6.0,no,1,1,      014404201
144,44,1,4,0.0,no,1,2,      014404401
144,60,1,4,0.0,no,1,2,      014406001
144,61,1,2,0.0,,1,1,      014406101
147,5,1,10,0.0,no,1,2,      014700501
148,40,1,0,3.0,no,1,1,      014804001
148,43,1,10,0.0,no,1,2,      014804301
150,6,1,0,4.0,no,1,5,      015000601
150,8,1,0,3.0,no,1,2,      015000801
161,17,1,1,0.0,no,1,2,      016101701
161,59,1,1,0.0,no,1,2,      016105901
162,6,1,0,1.0,no,1,2,      016200601
162,8,1,2,0.0,no,1,2,      016200801
162,10,1,0,0.0,no,1,2,      016201001
162,49,1,2,6.0,no,1,2,      016204901
198,92,1,3,0.0,,1,1,      019809201
217,76,1,2,0.0,no,1,2,      021707601
221,11,1,1,6.0,,1,1,      022101101
221,15,1,0,4.0,no,1,2,      022101501
221,17,1,1,0.0,no,1,1,      022101701
222,2,1,4,0.0,no,1,2,      022200201
224,50,1,1,4.0,no,1,1,      022405001
224,84,1,0,1.0,no,1,2,      022408401
224,93,1,3,0.0,si,1,1,      022409301
224,93,1,3,0.0,no,2,2,      022409301
225,62,1,3,3.0,si,1,2,      022506201
225,62,1,3,3.0,no,2,4,      022506201
225,64,1,1,0.0,si,1,3,      022506401
225,64,1,1,0.0,si,2,4,      022506401
225,64,1,1,0.0,no,3,5,      022506401
248,20,1,3,0.0,no,1,1,      024802001
249,31,1,1,0.0,no,1,2,      024903101
249,32,1,12,0.0,no,1,2,      024903201
254,63,1,2,0.0,no,1,2,      025406301
263,27,1,3,0.0,no,1,2,      026302701
263,29,1,3,0.0,no,1,2,      026302901
263,30,1,5,0.0,no,1,2,      026303001
263,54,1,8,0.0,no,1,2,      026305401
263,56,1,2,0.0,no,1,1,      026305601
263,57,1,no sabe,,,1,1,      026305701
263,58,1,0,1.0,,1,1,      026305801
263,79,1,3,0.0,no,1,2,      026307901
263,81,1,4,0.0,no,1,2,      026308101
263,83,1,1,0.0,no,1,2,      026308301
265,17,1,2,6.0,no,1,2,      026501701
265,20,1,2,0.0,no,1,2,      026502001
265,38,1,1,0.0,no,1,2,      026503801
265,39,1,2,0.0,no,1,3,      026503901
265,40,1,15,0.0,no,1,2,      026504001
270,75,1,no sabe,,no,1,2,      027007501
272,81,1,no sabe,,no,1,2,      027208101
272,83,1,0,6.0,no,1,2,      027208301
272,85,1,no sabe,,no,1,2,      027208501
272,87,1,2,no sabe,no,1,2,      027208701
272,89,1,0,1.0,no,1,2,      027208901
272,90,1,1,0.0,no,1,2,      027209001
272,91,1,2,6.0,no,1,2,      027209101
272,92,1,5,0.0,no,1,2,      027209201
272,95,1,6,0.0,no,1,2,      027209501
277,7,1,5,0.0,no,1,1,      027700701
277,8,1,no sabe,,,1,1,      027700801
277,9,1,2,0.0,,1,1,      027700901
277,51,1,2,0.0,no,1,2,      027705101
277,53,1,0,6.0,,1,1,      027705301
277,55,1,1,0.0,no,1,1,      027705501
277,61,1,2,0.0,no,1,1,      027706101
277,62,1,1,6.0,si,1,1,      027706201
277,62,1,1,0.0,no,2,2,      027706201
277,63,1,1,1.0,no,1,1,      027706301
277,64,1,2,0.0,no,1,1,      027706401
280,47,1,no sabe,,no,1,2,      028004701
280,68,1,1,0.0,no,1,2,      028006801
281,25,1,3,0.0,no,1,2,      028102501
281,34,1,1,0.0,no,1,2,      028103401
281,35,1,9,0.0,no,1,2,      028103501
284,25,1,no sabe,,no,1,1,      028402501
284,61,1,no sabe,,no,1,2,      028406101
286,17,1,2,0.0,no,1,1,      028601701
286,18,1,3,0.0,no,1,2,      028601801
287,25,1,7,0.0,no,1,2,      028702501
287,28,1,3,0.0,no,1,2,      028702801
287,56,1,no sabe,,no,1,2,      028705601
287,57,1,11,0.0,no,1,1,      028705701
287,58,1,1,0.0,no,1,2,      028705801
289,36,1,3,0.0,no,1,2,      028903601
296,93,1,2,0.0,no,1,2,      029609301
302,50,1,3,no sabe,si,1,1,      030205001
302,50,1,3,no sabe,si,2,2,      030205001
302,50,1,3,no sabe,no,3,3,      030205001
307,52,1,no sabe,,,1,1,      030705201
320,37,1,1,3.0,no,1,2,      032003701
324,9,1,10,0.0,no,1,1,      032400901
324,85,1,10,0.0,no,1,2,      032408501
327,17,1,10,11.0,no,1,2,      032701701
329,6,1,4,no sabe,no,1,2,      032900601
329,7,1,0,1.0,no,1,2,      032900701
329,8,1,4,0.0,no,1,2,      032900801
329,10,1,0,3.0,no,1,2,      032901001
329,13,1,2,0.0,no,1,2,      032901301
337,35,1,0,1.0,no,1,1,      033703501
340,80,1,5,0.0,no,1,1,      034008001
350,77,1,6,3.0,si,1,1,      035007701
