qhcluster,qhnumber,qhhome,ps100_1a,ps100_1m,ps100_1s,ps3,hvidx,hhid
8,32,1,1,0.0,,1,1,      000803201
9,47,1,1,0.0,no,1,2,      000904701
15,105,1,1,0.0,si,1,1,      001510501
15,105,1,1,0.0,,2,2,      001510501
16,80,1,1,0.0,no,1,2,      001608001
17,16,1,0,8.0,,1,1,      001701601
19,33,1,1,0.0,no,1,2,      001903301
21,114,1,1,0.0,si,1,1,      002111401
21,114,1,0,4.0,,2,3,      002111401
28,106,1,1,6.0,si,1,1,      002810601
28,106,1,0,8.0,no,2,2,      002810601
30,90,1,1,2.0,no,1,2,      003009001
32,15,1,1,10.0,,1,8,      003201501
35,84,1,1,0.0,,1,1,      003508401
38,24,1,2,6.0,,1,1,      003802401
40,13,1,0,2.0,,1,1,      004001301
40,68,1,1,3.0,,1,1,      004006801
42,1,1,1,0.0,,1,1,      004200101
45,35,1,1,0.0,si,1,1,      004503501
45,35,1,0,2.0,,2,2,      004503501
45,36,1,0,10.0,no,1,1,      004503601
45,49,1,1,0.0,,1,1,      004504901
48,57,1,1,0.0,,1,1,      004805701
49,41,1,3,0.0,,1,4,      004904101
50,29,1,0,3.0,,1,1,      005002901
50,30,1,0,5.0,no,1,9,      005003001
51,55,1,2,0.0,si,1,1,      005105501
51,55,1,2,0.0,,2,2,      005105501
51,57,1,2,0.0,,1,2,      005105701
52,3,1,2,2.0,,1,1,      005200301
52,36,1,1,0.0,si,1,1,      005203601
52,36,1,1,0.0,,2,2,      005203601
53,12,1,3,0.0,,1,1,      005301201
53,70,1,1,2.0,,1,3,      005307001
53,73,1,0,4.0,,1,1,      005307301
54,81,1,0,8.0,si,1,1,      005408101
54,81,1,0,8.0,no,2,3,      005408101
55,24,1,1,6.0,,1,2,      005502401
57,19,1,1,0.0,si,1,1,      005701901
57,19,1,0,6.0,,2,2,      005701901
58,6,1,0,4.0,,1,1,      005800601
58,24,1,0,6.0,,1,6,      005802401
76,101,1,0,3.0,no,1,1,      007610101
81,81,1,5,0.0,,1,1,      008108101
94,116,1,0,2.0,,1,1,      009411601
98,25,1,1,0.0,,1,4,      009802501
