qhcluster,qhnumber,qhhome,ps109_1r,ps109_1a,ps109_1m,ps109_1s,ps7,hvidx,hhid
1,27,1,si,2.0,3.0,,1,3,      000102701
1,27,1,no,,,,2,4,      000102701
1,43,1,si,2.0,0.0,,1,2,      000104301
1,75,1,si,2.0,3.0,,1,5,      000107501
1,75,1,si,2.0,3.0,,2,6,      000107501
1,75,1,si,2.0,3.0,,3,7,      000107501
1,75,1,si,2.0,3.0,,4,8,      000107501
1,89,1,si,2.0,3.0,,1,3,      000108901
1,89,1,si,0.0,3.0,,2,4,      000108901
1,90,1,no,,,,1,2,      000109001
2,6,1,si,1.0,1.0,,1,3,      000200601
2,32,1,si,no sabe,,,1,5,      000203201
2,32,1,si,1.0,2.0,,2,6,      000203201
2,80,1,no,,,,1,3,      000208001
2,119,1,no,,,,1,3,      000211901
2,119,1,no,,,,2,4,      000211901
2,119,1,no,,,,3,7,      000211901
2,130,1,ns,,,,1,3,      000213001
2,186,1,no,,,,1,2,      000218601
2,186,1,no,,,,2,3,      000218601
3,16,1,no,,,,1,3,      000301601
3,38,1,si,1.0,3.0,,1,4,      000303801
3,47,1,no,,,,1,3,      000304701
3,47,1,si,1.0,1.0,,2,7,      000304701
3,50,1,si,0.0,8.0,,1,4,      000305001
3,50,1,si,0.0,2.0,,2,5,      000305001
3,72,1,no,,,,1,3,      000307201
4,11,1,si,2.0,1.0,,1,3,      000401101
4,14,1,no,,,,1,4,      000401401
4,72,1,si,0.0,2.0,,1,3,      000407201
6,66,1,no,,,,1,4,      000606601
6,110,1,si,2.0,0.0,,1,3,      000611001
6,110,1,no,,,,2,4,      000611001
6,137,1,si,1.0,1.0,,1,2,      000613701
6,137,1,si,1.0,1.0,,2,3,      000613701
6,153,1,no,,,,1,3,      000615301
6,176,1,si,1.0,1.0,,1,5,      000617601
7,6,1,si,0.0,4.0,,1,3,      000700601
7,9,1,si,2.0,4.0,,1,4,      000700901
7,9,1,si,2.0,4.0,,2,5,      000700901
7,9,1,si,0.0,4.0,,3,6,      000700901
7,62,1,si,2.0,4.0,,1,3,      000706201
7,65,1,si,2.0,4.0,,1,3,      000706501
7,81,1,si,2.0,4.0,,1,3,      000708101
8,29,1,si,1.0,2.0,,1,3,      000802901
8,55,1,si,0.0,0.0,,1,3,      000805501
8,72,1,si,1.0,1.0,,1,3,      000807201
8,72,1,si,1.0,1.0,,2,4,      000807201
8,72,1,si,0.0,1.0,,3,5,      000807201
8,86,1,si,1.0,0.0,,1,3,      000808601
8,97,1,si,1.0,2.0,,1,3,      000809701
8,120,1,si,1.0,1.0,,1,6,      000812001
8,137,1,si,1.0,2.0,,1,3,      000813701
9,7,1,si,1.0,3.0,,1,4,      000900701
9,8,1,si,1.0,3.0,,1,3,      000900801
9,19,1,si,1.0,3.0,,1,3,      000901901
9,42,1,si,1.0,3.0,,1,3,      000904201
9,72,1,si,1.0,3.0,,1,5,      000907201
9,72,1,si,1.0,3.0,,2,6,      000907201
9,72,1,si,0.0,3.0,,3,7,      000907201
10,25,1,no,,,,1,3,      001002501
10,39,1,si,1.0,3.0,,1,2,      001003901
10,39,1,si,1.0,3.0,,2,5,      001003901
10,57,1,si,1.0,2.0,,1,4,      001005701
10,57,1,si,1.0,2.0,,2,5,      001005701
10,74,1,si,1.0,2.0,,1,3,      001007401
10,76,1,no,,,,1,3,      001007601
11,26,1,si,0.0,3.0,,1,3,      001102601
11,35,1,si,1.0,0.0,,1,3,      001103501
11,35,1,si,1.0,0.0,,2,5,      001103501
11,54,1,no,,,,1,4,      001105401
11,99,1,no,,,,1,3,      001109901
11,104,1,si,1.0,3.0,,1,2,      001110401
11,104,1,no,,,,2,3,      001110401
12,1,1,no,,,,1,4,      001200101
12,1,1,no,,,,2,5,      001200101
12,21,1,no,,,,1,4,      001202101
12,32,1,no,,,,1,5,      001203201
12,32,1,no,,,,2,6,      001203201
12,62,1,no,,,,1,3,      001206201
12,98,1,no,,,,1,5,      001209801
13,39,1,no,,,,1,5,      001303901
13,112,1,si,1.0,0.0,,1,3,      001311201
13,112,1,si,0.0,1.0,,2,5,      001311201
14,22,1,si,2.0,3.0,,1,2,      001402201
14,62,1,si,2.0,3.0,,1,4,      001406201
14,62,1,si,1.0,3.0,,2,5,      001406201
14,84,1,si,2.0,3.0,,1,3,      001408401
14,85,1,si,2.0,3.0,,1,3,      001408501
14,85,1,si,0.0,3.0,,2,4,      001408501
14,105,1,si,0.0,3.0,,1,3,      001410501
14,106,1,si,2.0,3.0,,1,7,      001410601
14,106,1,si,0.0,3.0,,2,8,      001410601
14,126,1,si,2.0,3.0,,1,2,      001412601
14,128,1,si,2.0,3.0,,1,3,      001412801
14,128,1,si,1.0,3.0,,2,4,      001412801
15,37,1,si,1.0,3.0,,1,2,      001503701
15,49,1,si,0.0,3.0,,1,3,      001504901
15,66,1,si,1.0,3.0,,1,3,      001506601
15,66,1,si,1.0,3.0,,2,4,      001506601
15,91,1,si,1.0,3.0,,1,3,      001509101
15,105,1,si,2.0,0.0,,1,6,      001510501
15,120,1,si,1.0,2.0,,1,3,      001512001
16,4,1,si,2.0,3.0,,1,4,      001600401
16,4,1,si,2.0,3.0,,2,5,      001600401
16,39,1,si,2.0,3.0,,1,2,      001603901
16,83,1,si,1.0,3.0,,1,3,      001608301
16,94,1,si,2.0,3.0,,1,3,      001609401
16,94,1,si,2.0,3.0,,2,4,      001609401
16,107,1,si,1.0,3.0,,1,4,      001610701
16,107,1,si,0.0,3.0,,2,5,      001610701
16,107,1,no,,,,3,6,      001610701
17,2,1,si,1.0,5.0,,1,2,      001700201
17,10,1,si,0.0,2.0,,1,4,      001701001
17,16,1,si,1.0,5.0,,1,4,      001701601
17,25,1,si,1.0,5.0,,1,3,      001702501
17,25,1,si,1.0,5.0,,2,4,      001702501
17,29,1,si,2.0,2.0,,1,3,      001702901
17,37,1,si,0.0,2.0,,1,3,      001703701
17,39,1,si,1.0,5.0,,1,4,      001703901
17,48,1,si,2.0,2.0,,1,3,      001704801
18,4,1,si,1.0,0.0,,1,3,      001800401
18,4,1,si,2.0,0.0,,2,5,      001800401
18,34,1,si,2.0,1.0,,1,3,      001803401
18,44,1,si,2.0,1.0,,1,3,      001804401
18,77,1,si,2.0,1.0,,1,4,      001807701
18,77,1,si,1.0,1.0,,2,5,      001807701
18,94,1,si,2.0,1.0,,1,4,      001809401
18,94,1,si,2.0,1.0,,2,5,      001809401
18,94,1,si,0.0,1.0,,3,6,      001809401
18,113,1,si,2.0,0.0,,1,5,      001811301
18,113,1,si,2.0,0.0,,2,6,      001811301
19,28,1,si,2.0,0.0,,1,5,      001902801
19,28,1,si,2.0,0.0,,2,6,      001902801
19,74,1,si,2.0,0.0,,1,3,      001907401
19,74,1,no,,,,2,4,      001907401
19,83,1,si,2.0,1.0,,1,4,      001908301
19,112,1,si,2.0,0.0,,1,3,      001911201
19,120,1,si,2.0,1.0,,1,3,      001912001
19,120,1,si,2.0,1.0,,2,4,      001912001
19,141,1,si,2.0,0.0,,1,3,      001914101
19,166,1,si,2.0,1.0,,1,3,      001916601
20,15,1,si,2.0,0.0,,1,3,      002001501
20,16,1,no,,,,1,3,      002001601
20,19,1,si,2.0,0.0,,1,3,      002001901
20,19,1,si,2.0,0.0,,2,4,      002001901
20,76,1,si,1.0,0.0,,1,5,      002007601
20,109,1,si,1.0,0.0,,1,2,      002010901
20,147,1,si,2.0,0.0,,1,6,      002014701
21,45,1,si,1.0,0.0,,1,4,      002104501
21,70,1,si,1.0,0.0,,1,4,      002107001
21,77,1,si,2.0,0.0,,1,3,      002107701
21,85,1,si,2.0,0.0,,1,4,      002108501
21,93,1,si,1.0,0.0,,1,4,      002109301
21,137,1,si,2.0,0.0,,1,2,      002113701
21,137,1,si,2.0,0.0,,2,3,      002113701
21,137,1,no,,,,3,4,      002113701
22,15,1,si,1.0,2.0,,1,3,      002201501
22,33,1,si,1.0,2.0,,1,3,      002203301
22,33,1,si,1.0,2.0,,2,4,      002203301
22,65,1,si,1.0,2.0,,1,3,      002206501
22,65,1,si,1.0,2.0,,2,4,      002206501
22,83,1,si,1.0,2.0,,1,4,      002208301
22,85,1,si,1.0,2.0,,1,3,      002208501
22,88,1,si,1.0,2.0,,1,3,      002208801
22,88,1,si,1.0,2.0,,2,4,      002208801
22,88,1,si,0.0,2.0,,3,5,      002208801
23,8,1,si,1.0,3.0,,1,4,      002300801
23,43,1,si,1.0,3.0,,1,4,      002304301
23,43,1,si,0.0,2.0,,2,5,      002304301
23,53,1,si,1.0,2.0,,1,4,      002305301
23,53,1,si,1.0,2.0,,2,5,      002305301
23,71,1,si,1.0,2.0,,1,4,      002307101
23,71,1,si,1.0,2.0,,2,5,      002307101
23,86,1,si,2.0,3.0,,1,3,      002308601
23,86,1,si,0.0,3.0,,2,4,      002308601
23,90,1,si,1.0,2.0,,1,4,      002309001
23,90,1,si,1.0,2.0,,2,5,      002309001
23,95,1,si,2.0,2.0,,1,5,      002309501
24,11,1,si,0.0,1.0,,1,2,      002401101
24,59,1,si,0.0,3.0,,1,5,      002405901
24,61,1,si,0.0,2.0,,1,5,      002406101
24,83,1,si,2.0,3.0,,1,5,      002408301
24,83,1,si,2.0,3.0,,2,6,      002408301
24,94,1,si,0.0,3.0,,1,3,      002409401
24,100,1,si,1.0,3.0,,1,2,      002410001
24,100,1,si,1.0,3.0,,2,3,      002410001
24,100,1,si,1.0,3.0,,3,4,      002410001
24,119,1,si,1.0,3.0,,1,3,      002411901
25,42,1,si,2.0,2.0,,1,4,      002504201
25,53,1,si,1.0,1.0,,1,2,      002505301
25,53,1,si,0.0,1.0,,2,3,      002505301
25,71,1,si,0.0,1.0,,1,2,      002507101
25,81,1,si,1.0,1.0,,1,3,      002508101
25,97,1,si,0.0,1.0,,1,3,      002509701
25,135,1,si,2.0,1.0,,1,5,      002513501
25,135,1,si,2.0,1.0,,2,9,      002513501
25,135,1,si,no sabe,,,3,11,      002513501
26,1,1,si,1.0,3.0,,1,3,      002600101
26,1,1,si,1.0,3.0,,2,4,      002600101
26,1,1,si,0.0,3.0,,3,5,      002600101
26,22,1,si,1.0,3.0,,1,5,      002602201
26,26,1,si,2.0,2.0,,1,6,      002602601
26,84,1,si,2.0,2.0,,1,4,      002608401
26,86,1,si,2.0,2.0,,1,4,      002608601
26,86,1,si,2.0,2.0,,2,5,      002608601
26,110,1,si,2.0,2.0,,1,3,      002611001
26,110,1,si,0.0,2.0,,2,4,      002611001
27,39,1,si,1.0,1.0,,1,3,      002703901
27,46,1,si,1.0,1.0,,1,3,      002704601
27,52,1,si,2.0,1.0,,1,4,      002705201
27,64,1,si,2.0,1.0,,1,4,      002706401
27,64,1,si,1.0,1.0,,2,5,      002706401
