qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
10,74,1,0,6.0,,1,8,      001007401
11,26,1,0,1.0,,1,4,      001102601
15,146,1,0,11.0,,1,5,      001514601
50,8,1,0,10.0,no,1,3,      005000801
50,21,1,0,8.0,,1,5,      005002101
50,22,1,0,8.0,,1,4,      005002201
50,23,1,0,3.0,,1,12,      005002301
50,25,1,1,3.0,no,1,6,      005002501
62,97,1,1,3.0,,1,4,      006209701
64,15,2,1,0.0,,1,3,      006401502
64,39,1,0,4.0,,1,7,      006403901
76,74,1,0,1.0,,1,3,      007607401
80,14,1,1,0.0,,1,5,      008001401
88,29,1,1,0.0,,1,7,      008802901
94,28,1,0,1.0,,1,5,      009402801
94,100,1,0,1.0,,1,4,      009410001
95,37,1,1,0.0,no,1,12,      009503701
97,18,1,0,9.0,,1,7,      009701801
97,19,1,0,1.0,,1,4,      009701901
97,33,1,1,0.0,,1,7,      009703301
97,58,1,0,6.0,,1,3,      009705801
100,12,1,0,3.0,,1,3,      010001201
100,15,1,0,1.0,,1,4,      010001501
100,24,1,0,3.0,,1,6,      010002401
100,89,1,0,3.0,,1,3,      010008901
101,62,1,1,0.0,,1,5,      010106201
101,64,1,1,0.0,,1,4,      010106401
103,64,1,0,2.0,,1,4,      010306401
113,33,1,0,7.0,,1,3,      011303301
120,80,1,0,2.0,,1,3,      012008001
121,6,1,0,6.0,,1,3,      012100601
121,84,1,0,4.0,,1,5,      012108401
121,123,1,0,4.0,,1,4,      012112301
121,183,1,2,4.0,,1,5,      012118301
124,30,1,0,8.0,,1,5,      012403001
124,44,1,0,8.0,,1,5,      012404401
124,48,1,0,5.0,,1,10,      012404801
126,15,1,0,5.0,,1,4,      012601501
126,150,1,0,6.0,si,1,4,      012615001
126,150,1,0,6.0,,2,5,      012615001
127,45,1,0,1.0,,1,3,      012704501
128,120,1,0,5.0,,1,4,      012812001
130,18,1,0,6.0,,1,6,      013001801
130,105,1,1,3.0,,1,5,      013010501
130,136,1,0,6.0,,1,3,      013013601
132,127,1,0,1.0,,1,3,      013212701
132,173,1,0,2.0,,1,4,      013217301
132,185,1,0,4.0,,1,8,      013218501
133,12,1,0,6.0,,1,7,      013301201
133,68,1,0,6.0,,1,6,      013306801
136,53,1,0,2.0,,1,4,      013605301
136,109,1,1,0.0,no,1,6,      013610901
138,50,1,0,5.0,,1,6,      013805001
140,38,1,0,6.0,,1,4,      014003801
140,40,1,1,2.0,,1,8,      014004001
140,104,1,1,0.0,si,1,3,      014010401
140,104,1,0,2.0,,2,4,      014010401
140,105,1,1,0.0,no,1,4,      014010501
142,74,1,0,6.0,,1,4,      014207401
145,87,1,2,0.0,,1,5,      014508701
146,12,1,0,10.0,,1,6,      014601201
146,41,1,0,5.0,,1,5,      014604101
146,98,1,0,1.0,,1,4,      014609801
147,3,1,0,6.0,no,1,3,      014700301
147,94,1,2,4.0,,1,7,      014709401
148,27,1,1,6.0,,1,6,      014802701
149,8,1,0,8.0,,1,4,      014900801
149,10,1,1,3.0,no,1,4,      014901001
149,43,1,1,5.0,,1,4,      014904301
149,45,1,0,2.0,,1,8,      014904501
149,90,1,1,3.0,,1,6,      014909001
150,6,1,0,6.0,,1,7,      015000601
150,8,1,1,0.0,si,1,3,      015000801
150,8,1,0,1.0,,2,4,      015000801
155,2,1,0,6.0,,1,5,      015500201
155,23,1,0,7.0,,1,4,      015502301
155,45,1,0,10.0,,1,4,      015504501
155,58,1,0,7.0,,1,4,      015505801
155,59,1,0,11.0,,1,4,      015505901
155,90,1,0,6.0,,1,5,      015509001
155,93,1,0,9.0,,1,5,      015509301
155,107,1,0,5.0,,1,3,      015510701
158,4,1,0,5.0,,1,6,      015800401
158,11,1,2,0.0,,1,3,      015801101
158,24,1,0,2.0,,1,4,      015802401
158,62,1,0,3.0,,1,4,      015806201
158,66,1,1,0.0,,1,3,      015806601
158,73,1,0,2.0,,1,5,      015807301
159,114,1,no sabe,,,1,4,      015911401
161,17,1,1,6.0,,1,4,      016101701
161,58,1,0,3.0,,1,7,      016105801
161,59,1,0,2.0,,1,4,      016105901
162,50,1,0,2.0,,1,2,      016205001
164,2,1,1,0.0,,1,5,      016400201
164,47,1,1,0.0,,1,2,      016404701
164,69,1,1,0.0,,1,6,      016406901
177,18,1,1,0.0,,1,4,      017701801
185,64,1,99,99.0,,1,3,      018506401
198,62,1,0,1.0,,1,4,      019806201
212,19,1,0,5.0,no,1,2,      021201901
213,149,1,1,0.0,,1,4,      021314901
216,15,1,2,3.0,,1,5,      021601501
216,30,1,0,2.0,,1,3,      021603001
220,3,1,0,1.0,,1,4,      022000301
224,17,1,0,4.0,no,1,3,      022401701
224,87,1,1,0.0,,1,4,      022408701
224,93,1,1,0.0,,1,5,      022409301
233,12,1,0,7.0,,1,8,      023301201
236,58,1,1,0.0,,1,4,      023605801
236,95,1,1,0.0,,1,4,      023609501
236,152,1,0,2.0,,1,7,      023615201
247,51,1,0,3.0,,1,6,      024705101
249,32,1,0,1.0,,1,5,      024903201
249,97,1,1,0.0,no,1,4,      024909701
250,70,1,0,5.0,,1,7,      025007001
253,23,1,0,0.0,,1,5,      025302301
253,49,1,1,6.0,,1,4,      025304901
254,5,1,0,8.0,,1,3,      025400501
254,82,1,0,1.0,,1,5,      025408201
256,12,1,1,5.0,,1,6,      025601201
258,57,1,1,2.0,,1,5,      025805701
262,2,1,0,0.0,no,1,2,      026200201
262,33,1,0,3.0,,1,2,      026203301
262,44,1,1,5.0,,1,3,      026204401
263,29,1,0,5.0,,1,7,      026302901
263,30,1,0,6.0,,1,9,      026303001
264,68,1,0,1.0,,1,6,      026406801
265,17,1,0,1.0,,1,6,      026501701
265,46,1,2,0.0,,1,3,      026504601
265,48,1,1,0.0,,1,3,      026504801
265,50,1,0,3.0,,1,4,      026505001
268,4,1,1,0.0,,1,7,      026800401
269,34,1,2,2.0,,1,6,      026903401
269,68,1,2,0.0,,1,4,      026906801
270,34,1,2,0.0,,1,5,      027003401
270,42,1,0,7.0,,1,3,      027004201
270,44,1,2,0.0,,1,4,      027004401
271,58,1,1,6.0,,1,7,      027105801
272,82,1,0,5.0,no,1,3,      027208201
272,85,1,0,3.0,,1,11,      027208501
272,88,1,0,2.0,,1,5,      027208801
272,89,1,1,0.0,,1,4,      027208901
272,93,1,0,6.0,,1,5,      027209301
273,36,1,2,0.0,,1,3,      027303601
273,60,1,1,10.0,,1,4,      027306001
275,32,1,2,0.0,,1,6,      027503201
276,24,1,0,0.0,,1,5,      027602401
280,29,1,0,6.0,,1,4,      028002901
280,36,1,2,0.0,,1,4,      028003601
280,37,1,2,0.0,,1,4,      028003701
280,41,1,1,6.0,,1,4,      028004101
280,68,1,1,0.0,,1,4,      028006801
293,35,1,0,2.0,,1,3,      029303501
303,33,1,1,7.0,,1,3,      030303301
311,4,1,1,0.0,,1,3,      031100401
311,5,1,1,3.0,,1,4,      031100501
311,8,1,1,0.0,,1,5,      031100801
311,10,1,1,0.0,,1,8,      031101001
311,75,1,1,1.0,,1,3,      031107501
313,41,1,0,1.0,,1,5,      031304101
313,49,1,1,3.0,,1,7,      031304901
313,67,1,1,1.0,,1,5,      031306701
313,68,1,1,0.0,si,1,3,      031306801
313,68,1,0,1.0,,2,4,      031306801
313,70,1,1,6.0,,1,3,      031307001
314,52,1,1,4.0,,1,2,      031405201
314,56,1,0,11.0,,1,9,      031405601
314,60,1,1,0.0,,1,3,      031406001
314,61,1,0,5.0,,1,4,      031406101
314,65,1,1,2.0,,1,4,      031406501
315,36,1,1,4.0,,1,6,      031503601
315,38,1,0,6.0,,1,6,      031503801
315,40,1,0,2.0,,1,4,      031504001
315,52,1,0,1.0,,1,3,      031505201
315,53,1,0,5.0,,1,3,      031505301
315,110,1,0,8.0,,1,6,      031511001
317,17,1,1,2.0,,1,4,      031701701
317,93,1,1,0.0,,1,5,      031709301
317,94,1,0,2.0,,1,4,      031709401
322,31,1,0,6.0,,1,4,      032203101
326,70,1,0,10.0,,1,3,      032607001
326,72,1,0,9.0,,1,5,      032607201
327,17,1,1,0.0,,1,3,      032701701
328,40,1,2,0.0,,1,4,      032804001
328,62,1,1,0.0,,1,7,      032806201
328,63,1,2,2.0,,1,4,      032806301
330,82,1,1,0.0,,1,4,      033008201
330,83,1,0,7.0,,1,5,      033008301
330,84,1,0,5.0,,1,4,      033008401
330,99,1,1,0.0,,1,4,      033009901
334,117,1,0,6.0,,1,5,      033411701
334,118,1,0,5.0,no,1,3,      033411801
336,16,1,2,5.0,,1,6,      033601601
341,32,1,0,0.0,no,1,6,      034103201
347,106,1,0,5.0,,1,5,      034710601
354,94,1,0,3.0,,1,7,      035409401
358,88,1,2,0.0,no,1,4,      035808801
418,11,1,0,1.0,si,1,4,      041801101
418,11,1,0,1.0,,2,5,      041801101
428,21,1,1,5.0,no,1,8,      042802101
428,33,1,0,2.0,no,1,3,      042803301
428,51,1,0,9.0,,1,4,      042805101
431,56,1,2,0.0,,1,2,      043105601
441,30,1,0,6.0,,1,3,      044103001
448,82,1,1,1.0,,1,6,      044808201
453,10,1,1,4.0,,1,4,      045301001
453,47,1,1,0.0,,1,4,      045304701
454,8,1,0,6.0,,1,6,      045400801
454,52,1,1,4.0,no,1,4,      045405201
454,66,1,0,5.0,,1,4,      045406601
459,28,1,1,3.0,,1,3,      045902801
461,31,1,0,4.0,,1,3,      046103101
461,87,1,0,4.0,,1,7,      046108701
466,27,1,0,8.0,,1,3,      046602701
