ID1,HHID,NRO_ORDEN,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2019,"000400601",1,1,86,6,2014,nan
2019,"000417401",1,2,38,10,2017,4
2019,"000803701",1,2,15,10,2018,1
2019,"000806301",1,2,11,5,2016,nan
2019,"000808701",1,1,1,11,2017,nan
2019,"000903401",1,1,64,2,2015,nan
2019,"001714101",1,2,95,8,2015,nan
2019,"001805101",1,1,82,11,2018,nan
2019,"001907501",1,1,26,10,2015,nan
2019,"002019601",1,1,83,9,2018,nan
2019,"002303601",1,2,57,6,2017,nan
2019,"002610901",1,1,84,1,2018,nan
2019,"002801201",1,1,0,3,2019,nan
2019,"003010201",1,1,49,7,2018,nan
2019,"003118001",1,2,3,8,2017,nan
2019,"003217501",1,1,50,6,2017,nan
2019,"003302001",1,1,13,5,2018,nan
2019,"003416001",1,2,60,6,2017,nan
2019,"003809401",1,2,85,1,2017,nan
2019,"003815201",1,2,29,8,2015,4
2019,"003909501",1,2,38,7,2014,4
2019,"004108601",1,2,75,8,2017,nan
2019,"004203801",1,2,18,10,2015,4
2019,"004304201",1,2,53,11,2018,nan
2019,"004304301",1,1,59,12,2016,nan
2019,"004304301",2,2,52,11,2018,nan
2019,"004402301",1,1,27,5,2015,nan
2019,"004402501",1,1,12,3,2018,nan
2019,"004501401",1,1,80,10,2017,nan
2019,"004503701",1,2,82,1,2015,nan
2019,"004600801",1,1,89,11,2014,nan
2019,"004710801",1,1,45,3,2016,nan
2019,"005008201",1,1,75,9,2016,nan
2019,"005201901",1,1,54,6,2018,nan
2019,"005205101",1,1,72,5,2019,nan
2019,"005210601",1,1,58,10,2015,nan
2019,"005305301",1,1,78,6,2017,nan
2019,"005500801",1,1,90,1,2015,nan
2019,"005500801",2,2,91,5,2016,nan
2019,"005500801",3,2,85,11,2017,nan
2019,"005504501",1,1,34,11,2014,nan
2019,"005902701",1,1,85,10,2016,nan
2019,"006006901",1,1,82,9,2017,nan
2019,"006116001",1,2,62,7,2016,nan
2019,"006203301",1,1,82,12,2016,nan
2019,"006407401",1,2,68,12,2014,nan
2019,"006503901",1,1,72,3,2018,nan
2019,"006505501",1,2,94,6,2018,nan
2019,"006701701",1,1,42,6,2014,nan
2019,"006705101",1,1,82,3,2018,nan
2019,"006714901",1,1,94,1,2019,nan
2019,"006809401",1,1,66,6,2015,nan
2019,"006908401",1,1,75,8,2015,nan
2019,"007005901",1,2,82,3,2016,nan
2019,"007008401",1,2,84,9,2016,nan
2019,"007102201",1,2,80,4,2018,nan
2019,"007300401",1,2,81,5,2018,nan
2019,"007302301",1,1,80,9,2016,nan
2019,"007312701",1,2,97,2,2017,nan
2019,"007803601",1,2,60,8,2018,nan
2019,"007906301",1,2,72,11,2014,nan
2019,"008005501",1,2,98,8,2014,nan
2019,"008210401",1,2,95,10,2014,nan
2019,"008210601",1,2,16,10,2014,4
2019,"008302401",1,2,60,8,2018,nan
2019,"008809001",1,2,67,5,2019,nan
2019,"008907301",1,1,43,8,2014,nan
2019,"008909401",1,1,83,12,2014,nan
2019,"009011001",1,1,28,12,2016,nan
2019,"009402001",1,2,55,4,2017,nan
2019,"009402801",1,2,45,6,2017,4
2019,"009502501",1,2,26,2,2017,4
2019,"009508801",1,2,75,8,2016,nan
2019,"009508801",2,2,78,2,2019,nan
2019,"009602901",1,2,75,2,2015,nan
2019,"009703401",1,2,70,11,2017,nan
2019,"009703901",1,2,2,2,2014,nan
2019,"009802001",1,2,50,9,2015,nan
2019,"009803101",1,2,38,7,2016,2
2019,"010009401",1,2,70,8,2017,nan
2019,"010011501",1,2,100,4,2018,nan
2019,"010011601",1,2,100,4,2018,nan
2019,"010104001",1,1,78,4,2017,nan
2019,"010304101",1,1,0,2,2019,nan
2019,"010304601",1,2,21,6,2018,4
2019,"010304701",1,1,36,12,2015,nan
2019,"010404501",1,2,97,4,2018,nan
2019,"010507801",1,2,80,8,2014,nan
2019,"010606401",1,1,57,9,2015,nan
2019,"010606501",1,1,68,1,2017,nan
2019,"010700101",1,2,56,5,2018,nan
2019,"010907801",1,1,42,12,2016,nan
2019,"010907801",2,2,90,11,2017,nan
2019,"010907901",1,1,64,11,2018,nan
2019,"011001301",1,2,72,3,2016,nan
2019,"011105901",1,1,85,3,2018,nan
2019,"011105901",2,2,97,10,2018,nan
2019,"011106101",1,2,74,7,2017,nan
2019,"011202801",1,1,47,4,2014,nan
2019,"011202801",2,2,80,12,2017,nan
2019,"011209401",1,1,40,9,2018,nan
2019,"011302901",1,2,94,4,2018,nan
2019,"011304301",1,1,39,5,2014,nan
2019,"011304301",2,1,14,5,2014,nan
2019,"011401101",1,2,34,2,2017,4
2019,"011402201",1,1,30,11,2015,nan
2019,"011402301",1,1,32,11,2015,nan
2019,"011402901",1,1,98,11,2015,nan
2019,"011504201",1,1,73,5,2018,nan
2019,"011504301",1,1,71,4,2018,nan
2019,"011507501",1,2,94,2,2014,nan
2019,"011704701",1,2,75,5,2018,nan
2019,"012521201",1,1,78,3,2016,nan
2019,"012601801",1,2,80,12,2017,nan
2019,"012812801",1,2,83,11,2015,nan
2019,"012909401",1,1,96,7,2018,nan
2019,"013005501",1,1,78,12,2018,nan
2019,"013102501",1,1,0,11,2017,nan
2019,"013306401",1,2,49,5,2015,4
2019,"013500101",1,1,15,6,2017,nan
2019,"013504701",1,1,56,3,2016,nan
2019,"013903001",1,1,98,6,2017,nan
2019,"013904701",1,2,80,8,2014,nan
2019,"013904701",2,1,85,12,2018,nan
2019,"014005901",1,2,67,3,2019,nan
2019,"014105301",1,1,73,8,2014,nan
2019,"014106901",1,2,80,3,2017,nan
2019,"014209701",1,1,46,10,2017,nan
2019,"014308501",1,2,1,3,2016,nan
2019,"014602901",1,1,54,5,2015,nan
2019,"014702901",1,1,77,9,2017,nan
2019,"014800601",1,1,81,5,2016,nan
