Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,,,,,
2,HHID,Identificación Cuestionario del Hogar,AN,15,,,,
3,QHCLUSTER,Conglomerado,N,4,,,,
4,QHNUMBER,Vivienda seleccionada,N,3,,,,
5,QHHOME,Hogar seleccionado,N,2,,,,
6,QS800,Línea de niña/niño,N,2,,,,SIN VALOR
7,QS801,Nro. de orden niña/niño,N,2,2:25,,,
8,QS802,Nro. de orden responsable,N,2,0:25,,,
9,QS802V,Responsable vive en el hogar,N,1,1:2,1,Si vive en el hogar,
9,QS802V,Responsable vive en el hogar,N,1,1:2,2,No vive en el hogar,
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",1,Responsable presente,
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",2,Responsable no presente,
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",4,Responsable rechazo,
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",5,Informacion incompleta,
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",6,Responsable discapacitada(o),
10,QS802A,Resultado entrevista niña/niño,N,1,"1:2, 4:6, 9",9,Otra,
11,QS802CD,Dia Nacimiento niño/niña,N,2,1:31,,,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,1,Enero,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,2,Febrero,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,3,Marzo,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,4,Abril,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,5,Mayo,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,6,Junio,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,7,Julio,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,8,Agosto,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,9,Setiembre,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,10,Octubre,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,11,Noviembre,
12,QS802CM,Mes nacimiento niño/niña,N,2,1:12,12,Diciembre,
13,QS802CA,Año nacimiento niño/niña,N,4,,,,
14,QS802D,Edad niño/niña,N,2,0:11,,,
15,QS803,Alguna vez ha sido atendido(a) en un servicio dental por un odontólogo,N,1,1:2,1,Si,
15,QS803,Alguna vez ha sido atendido(a) en un servicio dental por un odontólogo,N,1,1:2,2,No,
16,QS804U,Unidad de tiempo - hace cuanto tiempo fue atendido la última vez,,1,"1:2, 8",1,Meses (si es < de 2 años),
16,QS804U,Unidad de tiempo - hace cuanto tiempo fue atendido la última vez,,1,"1:2, 8",2,Dos o más años,
16,QS804U,Unidad de tiempo - hace cuanto tiempo fue atendido la última vez,,1,"1:2, 8",8,No sabe/No recuerda,
17,QS804C,Hace cuánto tiempo fue atendido la última vez,,2,0:23,,,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",10,Hospital MINSA,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",11,Hospital ESSALUD,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",12,Hospital FFAA Y PNP,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",13,Otro Municipal,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",14,Centro/Puesto del MINSA,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",15,Policlinico /Posta de ESSALUD/UBAP,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",20,Clínica/Consultorio Particular,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",30,Clinica/Posta de ONG,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",31,Hospital / Otro de Iglesia,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",40,Campaña del MINSA,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",41,Campaña de ESSALUD,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",42,Otras Campañas,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",96,Otro,
18,QS805,Donde lo atendieron,N,2,"10:15, 20, 30:31, 40:42, 96, 98",98,No sabe/No recuerda,
19,QS806,"En los últimos 12 meses, recibio información sobre cuidado e higiene bucal de las niñas y niños de una persona o medio de comunicación",N,1,"1:2, 8:9",1,Si,
19,QS806,"En los últimos 12 meses, recibio información sobre cuidado e higiene bucal de las niñas y niños de una persona o medio de comunicación",N,1,"1:2, 8:9",2,No,
19,QS806,"En los últimos 12 meses, recibio información sobre cuidado e higiene bucal de las niñas y niños de una persona o medio de comunicación",N,1,"1:2, 8:9",8,No sabe/no recuerda,
19,QS806,"En los últimos 12 meses, recibio información sobre cuidado e higiene bucal de las niñas y niños de una persona o medio de comunicación",N,1,"1:2, 8:9",9,Misma(o) informante,
20,QS807,Donde recibió la información,AN,12,A:Z,,,
21,QS809,Se lava los dientes con cepillo dental,N,1,1:2,1,Si,
21,QS809,Se lava los dientes con cepillo dental,N,1,1:2,2,No,
22,QS810,Se cepilla los dientes todos los días,N,1,"1:2, 8",1,Si,
22,QS810,Se cepilla los dientes todos los días,N,1,"1:2, 8",2,No,
22,QS810,Se cepilla los dientes todos los días,N,1,"1:2, 8",8,No sabe/no recuerda,
23,QS811,Cuantas veces al día se cepilla los dientes,N,1,1:4,1,Una vez al dia,
23,QS811,Cuantas veces al día se cepilla los dientes,N,1,1:4,2,Dos veces al dia,
23,QS811,Cuantas veces al día se cepilla los dientes,N,1,1:4,3,Tres veces al dia,
23,QS811,Cuantas veces al día se cepilla los dientes,N,1,1:4,4,Cuatro o mas veces al dia,
24,QS812U,Unidad - tiempo que tiene el cepillo para lavarse los dientes,N,1,"1:2, 8",1,Meses (si es < de 1 año),
