Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificacion Cuestionario del Hogar,AN,15,,,,
3,HVIDX,Número de Orden en el Hogar,N,2,,,,
4,QHCLUSTER,Conglomerado,N,4,1:3175,,,
5,QHNUMBER,Vivienda seleccionada,N,3,,,,
6,QHHOME,Hogar seleccionado,N,2,1:5,,,
7,PS109_1R,Recibió desayuno y/o almuerzo del programa nacional de alimentación escolar QALIWARMA,N,1,"1:2, 8",1,Si,
7,PS109_1R,Recibió desayuno y/o almuerzo del programa nacional de alimentación escolar QALIWARMA,N,1,"1:2, 8",2,No,
7,PS109_1R,Recibió desayuno y/o almuerzo del programa nacional de alimentación escolar QALIWARMA,N,1,"1:2, 8",8,No sabe,
8,PS109_1A,Hace cuanto tiempo es beneficiario: Años,N,2,,98,No sabe,
9,PS109_1M,Hace cuanto tiempo es beneficiario: Meses,N,2,,98,No sabe,
10,PS109_1S,Alguien más es beneficiario,N,1,1:2,1,Si,
10,PS109_1S,Alguien más es beneficiario,N,1,1:2,2,No,
11,PS7,Número de Orden,N,1,,,,
