Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificacion Cuestionario del Hogar,AN,15,,,,
3,QHCLUSTER,Conglomerado,N,4,1:3175,,,
4,QHNUMBER,Vivienda seleccionada,N,3,,,,
5,QHHOME,Hogar seleccionado,N,2,1:5,,,
6,QH91,Algun miembro es beneficiario de BECA 18?,N,1,1:3,1,Si,
6,QH91,Algun miembro es beneficiario de BECA 18?,N,1,1:3,2,No,
6,QH91,Algun miembro es beneficiario de BECA 18?,N,1,1:3,3,No Sabe/ No Recuerda,
7,QH93,Algun miembro es beneficiario de TRABAJA PERÚ?,N,1,1:3,1,Si,
7,QH93,Algun miembro es beneficiario de TRABAJA PERÚ?,N,1,1:3,2,No,
7,QH93,Algun miembro es beneficiario de TRABAJA PERÚ?,N,1,1:3,3,No Sabe/ No Recuerda,
8,QH95,Algun miembro es beneficiario de JUNTOS?,N,1,1:3,1,Si,
8,QH95,Algun miembro es beneficiario de JUNTOS?,N,1,1:3,2,No,
8,QH95,Algun miembro es beneficiario de JUNTOS?,N,1,1:3,3,No Sabe/ No Recuerda,
9,QH96,Número de orden,N,2,1:24,,,
10,QH96A,Hace cuanto tiempo es beneficiario: Años,N,2,,98,No Sabe,
11,QH96M,Hace cuanto tiempo es beneficiario: Meses,N,2,,98,No Sabe,
12,QH96AC,Muestra acuerdo de compromiso,N,1,1:2,1,Si y muestra el acuerdo de compromisos,
12,QH96AC,Muestra acuerdo de compromiso,N,1,1:2,2,Si y no muestra el acuerdo de compromisos,
13,QH97D,Día de afiliación,N,2,,98,No Sabe,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",1,Enero,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",2,Febrero,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",3,Marzo,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",4,Abril,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",5,Mayo,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",6,Junio,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",7,Julio,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",8,Agosto,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",9,Septiembre,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",10,Octubre,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",11,Noviembre,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",12,Diciembre,
14,QH97M,Mes de afiliación,N,2,"1:12, 98",98,No sabe,
15,QH97A,Año de afiliación,N,4,,9998,No sabe,
16,QH99,Algun miembro es beneciario de PENSIÓN 65?,N,1,1:3,1,Si,
16,QH99,Algun miembro es beneciario de PENSIÓN 65?,N,1,1:3,2,No,
16,QH99,Algun miembro es beneciario de PENSIÓN 65?,N,1,1:3,3,No Sabe/ No Recuerda,
17,QH101,Algun miembro recibe ayuda de VASO DE LECHE?,N,1,1:3,1,Si,
17,QH101,Algun miembro recibe ayuda de VASO DE LECHE?,N,1,1:3,2,No,
17,QH101,Algun miembro recibe ayuda de VASO DE LECHE?,N,1,1:3,3,No Sabe/ No Recuerda,
18,QH103,Algun miembro recibe ayuda del COMEDOR POPULAR?,N,1,1:3,1,Si,
18,QH103,Algun miembro recibe ayuda del COMEDOR POPULAR?,N,1,1:3,2,No,
18,QH103,Algun miembro recibe ayuda del COMEDOR POPULAR?,N,1,1:3,3,No Sabe/ No Recuerda,
19,QH106,Algun miembro recibe ayuda de WAWA WASI/ CUNA MAS?,N,1,1:3,1,Si,
19,QH106,Algun miembro recibe ayuda de WAWA WASI/ CUNA MAS?,N,1,1:3,2,No,
19,QH106,Algun miembro recibe ayuda de WAWA WASI/ CUNA MAS?,N,1,1:3,3,No Sabe/ No Recuerda,
20,QHVIOLEN,Numero de mujer para violencia domestica,N,2,0:24,,,
