Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
1,ID1,Año,N,4,,,,
2,HHID,Identificación de caso,AN,18,,,,
3,HA0,Número de orden en el hogar,N,2,1:24,,,
4,HA1,Edad de la mujer en años,N,2,12:49,,,
5,HA2,Peso en kilogramos (1 decimal),N,3,15:500,,,
6,HA3,Talla en centímetros (1 decimal),N,4,400:1500,,,
7,HA4,Talla/Edad percentil en que se encuentra,N,4,0:9998,9998,Casos marcados,
8,HA5,Talla/Edad Desviación Estándar,N,4,0:9998,9998,Casos marcados,
9,HA6,Talla/Edad porcentaje respecto a la mediana de referencia,N,5,0:99998,99998,Casos marcados,
10,HA11,Peso/Talla desvio estándar (DHS),N,4,0:9998,9998,Casos marcados,
11,HA12,Peso/Talla Porcentaje respecto a la mediana (DHS),N,5,0:99998,99998,Casos marcados,
12,HA12A,Peso/Talla Porcentaje respecto a la mediana (Foggarty),N,5,0:99998,99998,Casos marcados,
13,HA12B,Peso/Talla Porcentaje respecto a la mediana (OMS),N,5,0:99998,99998,Casos marcados,
14,HA13,Resultado de medición de la entrevistada,N,1,"0, 3:6",0,Medida,
14,HA13,Resultado de medición de la entrevistada,N,1,"0, 3:6",3,No presente,
14,HA13,Resultado de medición de la entrevistada,N,1,"0, 3:6",4,Rechazó,
14,HA13,Resultado de medición de la entrevistada,N,1,"0, 3:6",5,Parcialmente medida,
14,HA13,Resultado de medición de la entrevistada,N,1,"0, 3:6",6,Otro,
15,HA32,Fecha de nacimiento (cmc),N,4,800:1300,,,
16,HA33,Fecha de información completa,N,1,1:8,1,Mes y año,
16,HA33,Fecha de información completa,N,1,1:8,2,Mes y edad,
16,HA33,Fecha de información completa,N,1,1:8,3,Año y edad,
16,HA33,Fecha de información completa,N,1,1:8,4,Año,
16,HA33,Fecha de información completa,N,1,1:8,6,Edad,
16,HA33,Fecha de información completa,N,1,1:8,7,Mes,
16,HA33,Fecha de información completa,N,1,1:8,8,Ninguno,
17,HA35,En las últimas 24 horas cuantos cigarrillos fumó Ud.,N,2,0:25,0,No fuma,
18,HA40,Índice de Masa Corporal para la entrevistada,N,4,"1200:6000, 9998",9998,Casos marcados,
19,HA41,Índice de Rohrer para la entrevistada,N,4,"800:4500, 9998",9998,Casos marcados,
20,HA50,Grupos de mujeres de 12 a 49 años de edad,N,1,1:2,1,De 12 a 17 años de edad,
20,HA50,Grupos de mujeres de 12 a 49 años de edad,N,1,1:2,2,De 18 a 49 años de edad,
21,HA51,Número de orden del padre o responsable,N,2,0:15,0,No es miembro del hogar,
22,HA52,Leyó la declaración de consentimiento para la medición de hemoglobina,N,1,1:2,1,Aceptó,
22,HA52,Leyó la declaración de consentimiento para la medición de hemoglobina,N,1,1:2,2,"Padre/Otro responsable, rechazó",
23,HA53,Nivel de hemoglobina (g/dl - 1 decimal),N,3,50:250,,,
