,PS_COMEDOR-ID1-anho,PS_COMEDOR-HHID-identificacion_cuestionario_del_hogar,PS_COMEDOR-HVIDX-numero_de_orden_en_el_hogar,PS_COMEDOR-QHCLUSTER-conglomerado,PS_COMEDOR-QHNUMBER-vivienda_seleccionada,PS_COMEDOR-QHHOME-hogar_seleccionado,PS_COMEDOR-PS104_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_COMEDOR-PS104_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_COMEDOR-PS104_1S-alguien_mas_es_beneficiario,PS_COMEDOR-PS5-numero_de_orden,PS_COMEDOR-PS104_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_COMEDOR-PS104_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_COMEDOR-PS104_1S-alguien_mas_es_beneficiario_LABEL
0,2019,1714901,2,17,149,1,2,1,2,1,2,1,No
1,2019,3217701,2,32,177,1,1,0,2,1,1,0,No
2,2019,3611001,2,36,110,1,0,1,2,1,0,1,No
3,2019,3703901,2,37,39,1,8,0,2,1,8,0,No
4,2019,3708001,2,37,80,1,1,0,2,1,1,0,No
5,2019,3708101,3,37,81,1,5,0,2,1,5,0,No
6,2019,3708201,2,37,82,1,3,2,2,1,3,2,No
7,2019,3708401,2,37,84,1,2,0,2,1,2,0,No
8,2019,3709801,2,37,98,1,2,3,2,1,2,3,No
9,2019,3709901,2,37,99,1,10,6,2,1,10,6,No
10,2019,3710001,2,37,100,1,10,0,2,1,10,0,No
11,2019,3710101,2,37,101,1,4,0,2,1,4,0,No
12,2019,3900301,1,39,3,1,0,6,1,1,0,6,Si
13,2019,3900301,3,39,3,1,0,6,2,2,0,6,No
14,2019,4007401,1,40,74,1,2,6,2,1,2,6,No
15,2019,4100401,1,41,4,1,10,4,2,1,10,4,No
16,2019,4501301,2,45,13,1,10,0,2,1,10,0,No
17,2019,4506301,2,45,63,1,5,0,2,1,5,0,No
18,2019,4601001,2,46,10,1,98,98,2,1,No sabe,No sabe,No
19,2019,4605701,2,46,57,1,8,0,2,1,8,0,No
20,2019,4605901,2,46,59,1,0,6,2,1,0,6,No
21,2019,4608201,1,46,82,1,5,0,1,1,5,0,Si
22,2019,4608201,2,46,82,1,5,0,1,2,5,0,Si
23,2019,4608201,3,46,82,1,4,0,1,3,4,0,Si
24,2019,4608201,4,46,82,1,1,0,2,4,1,0,No
25,2019,4608301,2,46,83,1,1,0,2,1,1,0,No
26,2019,5809201,2,58,92,1,2,0,2,1,2,0,No
27,2019,9507001,2,95,70,1,2,0,2,1,2,0,No
28,2019,10200601,2,102,6,1,1,0,2,1,1,0,No
29,2019,10507101,2,105,71,1,10,0,2,1,10,0,No
30,2019,10507601,2,105,76,1,5,0,2,1,5,0,No
31,2019,10507701,2,105,77,1,0,5,2,1,0,5,No
32,2019,10507901,1,105,79,1,7,0,2,1,7,0,No
33,2019,10602201,2,106,22,1,5,0,2,1,5,0,No
34,2019,10606701,2,106,67,1,9,0,2,1,9,0,No
35,2019,11003201,2,110,32,1,10,0,1,1,10,0,Si
36,2019,11003201,4,110,32,1,7,0,2,2,7,0,No
37,2019,11501901,1,115,19,1,6,0,2,1,6,0,No
38,2019,11602701,1,116,27,1,2,0,1,1,2,0,Si
39,2019,11602701,3,116,27,1,2,0,1,2,2,0,Si
40,2019,11602701,6,116,27,1,2,0,2,3,2,0,No
41,2019,11907401,2,119,74,1,1,0,2,1,1,0,No
42,2019,13101101,2,131,11,1,2,0,2,1,2,0,No
43,2019,13102401,2,131,24,1,1,0,2,1,1,0,No
44,2019,13102601,2,131,26,1,0,5,2,1,0,5,No
45,2019,13209501,2,132,95,1,0,1,2,1,0,1,No
46,2019,13211701,2,132,117,1,1,3,2,1,1,3,No
47,2019,13413301,1,134,133,1,2,0,2,1,2,0,No
48,2019,13417901,2,134,179,1,1,0,2,1,1,0,No
49,2019,13604401,2,136,44,1,2,0,2,1,2,0,No
50,2019,13901101,1,139,11,1,1,5,2,1,1,5,No
51,2019,13901301,5,139,13,1,3,0,1,1,3,0,Si
52,2019,13901301,6,139,13,1,2,0,2,2,2,0,No
53,2019,13903401,2,139,34,1,2,0,2,1,2,0,No
54,2019,13904001,2,139,40,1,5,0,2,1,5,0,No
55,2019,13904201,2,139,42,1,0,6,2,1,0,6,No
56,2019,14205401,2,142,54,1,2,0,2,1,2,0,No
57,2019,14205501,2,142,55,1,3,0,2,1,3,0,No
58,2019,14205601,2,142,56,1,2,0,2,1,2,0,No
59,2019,14209401,2,142,94,1,10,0,2,1,10,0,No
60,2019,14209501,2,142,95,1,3,0,2,1,3,0,No
61,2019,14209601,2,142,96,1,3,0,2,1,3,0,No
62,2019,14209701,1,142,97,1,10,0,2,1,10,0,No
63,2019,14400901,2,144,9,1,4,0,2,1,4,0,No
