,PS_PENSION65-ID1-anho,PS_PENSION65-HHID-identificacion_cuestionario_del_hogar,PS_PENSION65-HVIDX-numero_de_orden_en_el_hogar,PS_PENSION65-QHCLUSTER-conglomerado,PS_PENSION65-QHNUMBER-vivienda_seleccionada,PS_PENSION65-QHHOME-hogar_seleccionado,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario,PS_PENSION65-PS3-numero_de_orden,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario_LABEL
0,2019,301001,5,3,10,1,3,0,2,1,3,0,No
1,2019,502401,1,5,24,1,0,3,2,1,0,3,No
2,2019,503401,7,5,34,1,0,6,2,1,0,6,No
3,2019,701901,1,7,19,1,0,2,2,1,0,2,No
4,2019,713701,1,7,137,1,3,0,1,1,3,0,Si
5,2019,713701,2,7,137,1,3,0,2,2,3,0,No
6,2019,803901,1,8,39,1,2,0,2,1,2,0,No
7,2019,1303401,1,13,34,1,3,0,2,1,3,0,No
8,2019,1310402,3,13,104,2,3,0,2,1,3,0,No
9,2019,1405201,3,14,52,1,4,0,2,1,4,0,No
10,2019,1514101,1,15,141,1,2,1,2,1,2,1,No
11,2019,1601701,1,16,17,1,2,0,2,1,2,0,No
12,2019,1603501,1,16,35,1,3,0,2,1,3,0,No
13,2019,1706201,1,17,62,1,4,0,2,1,4,0,No
14,2019,1710801,1,17,108,1,2,0,2,1,2,0,No
15,2019,1712201,1,17,122,1,2,8,2,1,2,8,No
16,2019,2311601,1,23,116,1,5,3,2,1,5,3,No
17,2019,2518801,1,25,188,1,3,0,1,1,3,0,Si
18,2019,2518801,2,25,188,1,3,0,2,2,3,0,No
19,2019,2610101,6,26,101,1,2,0,2,1,2,0,No
20,2019,2610901,1,26,109,1,3,0,2,1,3,0,No
21,2019,2903601,1,29,36,1,0,1,2,1,0,1,No
22,2019,3210001,6,32,100,1,1,0,2,1,1,0,No
23,2019,3300401,1,33,4,1,4,0,1,1,4,0,Si
24,2019,3300401,2,33,4,1,0,3,2,2,0,3,No
25,2019,3501401,1,35,14,1,2,0,2,1,2,0,No
26,2019,3501601,1,35,16,1,7,0,2,1,7,0,No
27,2019,3502601,1,35,26,1,0,6,2,1,0,6,No
28,2019,3600901,1,36,9,1,0,4,2,1,0,4,No
29,2019,3602201,3,36,22,1,2,0,1,1,2,0,Si
30,2019,3602201,4,36,22,1,4,0,2,2,4,0,No
31,2019,3602301,1,36,23,1,4,0,2,1,4,0,No
32,2019,3704201,1,37,42,1,4,1,2,1,4,1,No
33,2019,3708301,1,37,83,1,6,0,1,1,6,0,Si
34,2019,3708301,2,37,83,1,7,6,2,2,7,6,No
35,2019,3710001,2,37,100,1,2,0,2,1,2,0,No
36,2019,3815201,4,38,152,1,2,0,2,1,2,0,No
37,2019,4011701,1,40,117,1,3,0,1,1,3,0,Si
38,2019,4011701,3,40,117,1,0,8,2,2,0,8,No
39,2019,4102901,1,41,29,1,3,0,2,1,3,0,No
40,2019,4109401,1,41,94,1,5,0,2,1,5,0,No
41,2019,4203901,1,42,39,1,2,1,1,1,2,1,Si
42,2019,4203901,2,42,39,1,2,1,2,2,2,1,No
43,2019,4204901,1,42,49,1,4,1,1,1,4,1,Si
44,2019,4204901,2,42,49,1,0,2,2,2,0,2,No
45,2019,4303601,2,43,36,1,2,0,2,1,2,0,No
46,2019,4404401,1,44,44,1,1,1,2,1,1,1,No
47,2019,4501301,1,45,13,1,5,0,1,1,5,0,Si
48,2019,4501301,2,45,13,1,2,0,2,2,2,0,No
49,2019,4501401,1,45,14,1,1,0,2,1,1,0,No
50,2019,4700101,4,47,1,1,3,0,2,1,3,0,No
51,2019,4903901,1,49,39,1,1,0,1,1,1,0,Si
52,2019,4903901,2,49,39,1,1,0,2,2,1,0,No
53,2019,5004901,5,50,49,1,98,7,2,1,No sabe,7,No
