,PS_QALIWARMA-ID1-anho,PS_QALIWARMA-HHID-identificacion_cuestionario_del_hogar,PS_QALIWARMA-HVIDX-numero_de_orden_en_el_hogar,PS_QALIWARMA-QHCLUSTER-conglomerado,PS_QALIWARMA-QHNUMBER-vivienda_seleccionada,PS_QALIWARMA-QHHOME-hogar_seleccionado,PS_QALIWARMA-PS109_1R-recibio_desayuno_y/o_almuerzo_del_programa_nacional_de_alimentacion_escolar_qaliwarma,PS_QALIWARMA-PS109_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_QALIWARMA-PS109_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_QALIWARMA-PS109_1S-alguien_mas_es_beneficiario,PS_QALIWARMA-PS7-numero_de_orden,PS_QALIWARMA-PS109_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_QALIWARMA-PS109_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_QALIWARMA-PS109_1R-recibio_desayuno_y/o_almuerzo_del_programa_nacional_de_alimentacion_escolar_qaliwarma_LABEL,PS_QALIWARMA-PS109_1S-alguien_mas_es_beneficiario_LABEL
0,2019,102801,3,1,28,1,1,1,4,1,1,1,4,Si,Si
1,2019,102801,4,1,28,1,1,1,4,2,2,1,4,Si,No
2,2019,104801,3,1,48,1,1,4,4,1,1,4,4,Si,Si
3,2019,104801,4,1,48,1,1,4,4,1,2,4,4,Si,Si
4,2019,104801,5,1,48,1,1,0,4,2,3,0,4,Si,No
5,2019,113601,4,1,136,1,1,1,4,2,1,1,4,Si,No
6,2019,119101,2,1,191,1,1,1,4,2,1,1,4,Si,No
7,2019,120701,4,1,207,1,1,3,4,1,1,3,4,Si,Si
8,2019,120701,5,1,207,1,1,1,4,2,2,1,4,Si,No
9,2019,200301,4,2,3,1,1,4,1,2,1,4,1,Si,No
10,2019,203001,3,2,30,1,1,3,1,1,1,3,1,Si,Si
11,2019,203001,4,2,30,1,1,1,1,2,2,1,1,Si,No
12,2019,208001,4,2,80,1,1,1,1,2,1,1,1,Si,No
13,2019,209401,3,2,94,1,1,0,1,2,1,0,1,Si,No
14,2019,406001,4,4,60,1,1,4,3,2,1,4,3,Si,No
15,2019,413001,4,4,130,1,1,6,3,2,1,6,3,Si,No
16,2019,413101,3,4,131,1,1,1,3,2,1,1,3,Si,No
17,2019,415901,5,4,159,1,1,6,3,1,1,6,3,Si,Si
18,2019,415901,6,4,159,1,1,0,3,2,2,0,3,Si,No
19,2019,417401,5,4,174,1,1,0,3,2,1,0,3,Si,No
20,2019,503401,4,5,34,1,1,2,2,1,1,2,2,Si,Si
21,2019,503401,5,5,34,1,1,0,2,2,2,0,2,Si,No
22,2019,508001,3,5,80,1,1,3,2,1,1,3,2,Si,Si
23,2019,508001,4,5,80,1,1,1,2,2,2,1,2,Si,No
24,2019,509801,4,5,98,1,1,6,2,1,1,6,2,Si,Si
25,2019,509801,5,5,98,1,1,5,2,1,2,5,2,Si,Si
26,2019,509801,6,5,98,1,1,4,2,2,3,4,2,Si,No
27,2019,512001,2,5,120,1,1,1,2,2,1,1,2,Si,No
28,2019,606601,3,6,66,1,1,3,3,1,1,3,3,Si,Si
29,2019,606601,4,6,66,1,1,3,3,2,2,3,3,Si,No
30,2019,611601,3,6,116,1,1,2,3,2,1,2,3,Si,No
31,2019,612701,3,6,127,1,1,1,3,2,1,1,3,Si,No
32,2019,800201,4,8,2,1,1,0,1,2,1,0,1,Si,No
33,2019,801101,3,8,11,1,1,5,1,1,1,5,1,Si,Si
34,2019,801101,4,8,11,1,1,2,1,2,2,2,1,Si,No
35,2019,801201,3,8,12,1,1,5,1,1,1,5,1,Si,Si
36,2019,801201,4,8,12,1,1,3,1,2,2,3,1,Si,No
37,2019,803701,4,8,37,1,1,4,1,2,1,4,1,Si,No
38,2019,805501,4,8,55,1,1,5,1,1,1,5,1,Si,Si
39,2019,805501,5,8,55,1,1,3,1,1,2,3,1,Si,Si
40,2019,805501,6,8,55,1,1,2,1,1,3,2,1,Si,Si
41,2019,805501,7,8,55,1,1,1,1,2,4,1,1,Si,No
42,2019,806301,5,8,63,1,1,5,1,1,1,5,1,Si,Si
43,2019,806301,6,8,63,1,1,4,1,1,2,4,1,Si,Si
44,2019,806301,7,8,63,1,1,1,1,2,3,1,1,Si,No
45,2019,808601,3,8,86,1,1,1,1,2,1,1,1,Si,No
46,2019,808701,2,8,87,1,1,5,1,1,1,5,1,Si,Si
47,2019,808701,3,8,87,1,1,4,1,1,2,4,1,Si,Si
48,2019,808701,4,8,87,1,1,3,1,2,3,3,1,Si,No
49,2019,903001,3,9,30,1,1,5,2,1,1,5,2,Si,Si
50,2019,903001,4,9,30,1,1,3,2,1,2,3,2,Si,Si
51,2019,903001,5,9,30,1,1,0,2,2,3,0,2,Si,No
52,2019,906701,3,9,67,1,1,4,2,1,1,4,2,Si,Si
53,2019,906701,4,9,67,1,1,0,2,2,2,0,2,Si,No
54,2019,910501,4,9,105,1,1,3,2,1,1,3,2,Si,Si
55,2019,910501,5,9,105,1,1,0,2,2,2,0,2,Si,No
56,2019,915501,3,9,155,1,1,3,2,1,1,3,2,Si,Si
57,2019,915501,4,9,155,1,1,0,2,2,2,0,2,Si,No
58,2019,915601,3,9,156,1,1,6,2,2,1,6,2,Si,No
59,2019,916101,4,9,161,1,1,0,2,2,1,0,2,Si,No
60,2019,1200401,3,12,4,1,1,1,0,2,1,1,0,Si,No
61,2019,1202101,3,12,21,1,2,0,0,1,1,0,0,No,Si
62,2019,1202101,4,12,21,1,2,0,0,1,2,0,0,No,Si
63,2019,1202101,5,12,21,1,1,1,1,2,3,1,1,Si,No
64,2019,1206101,3,12,61,1,1,3,0,2,1,3,0,Si,No
65,2019,1404101,3,14,41,1,1,4,1,2,1,4,1,Si,No
66,2019,1404901,5,14,49,1,2,0,0,2,1,0,0,No,No
67,2019,1405101,3,14,51,1,1,1,1,1,1,1,1,Si,Si
68,2019,1405101,4,14,51,1,1,1,1,2,2,1,1,Si,No
