,PS_VL-ID1-anho,PS_VL-HHID-identificacion_cuestionario_del_hogar,PS_VL-HVIDX-numero_de_orden_en_el_hogar,PS_VL-QHCLUSTER-conglomerado,PS_VL-QHNUMBER-vivienda_seleccionada,PS_VL-QHHOME-hogar_seleccionado,PS_VL-PS102_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_VL-PS102_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_VL-PS102_1S-alguien_mas_es_beneficiario,PS_VL-PS4-numero_de_orden,PS_VL-PS102_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_VL-PS102_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_VL-PS102_1S-alguien_mas_es_beneficiario_LABEL
0,2019,301001,4,3,10,1,0,5,2,1,0,5,No
1,2019,403801,3,4,38,1,1,0,2,1,1,0,No
2,2019,801101,5,8,11,1,1,0,2,1,1,0,No
3,2019,801201,7,8,12,1,0,1,2,1,0,1,No
4,2019,801601,3,8,16,1,1,6,2,1,1,6,No
5,2019,805501,9,8,55,1,0,1,2,1,0,1,No
6,2019,808601,4,8,86,1,0,11,2,1,0,11,No
7,2019,903001,5,9,30,1,3,0,2,1,3,0,No
8,2019,913801,3,9,138,1,1,0,2,1,1,0,No
9,2019,915601,4,9,156,1,0,4,2,1,0,4,No
10,2019,916101,4,9,161,1,1,0,2,1,1,0,No
11,2019,1009301,4,10,93,1,1,1,2,1,1,1,No
12,2019,1019101,6,10,191,1,0,2,2,1,0,2,No
13,2019,1022701,6,10,227,1,0,3,2,1,0,3,No
14,2019,1024301,3,10,243,1,0,4,2,1,0,4,No
15,2019,1102101,5,11,21,1,0,7,2,1,0,7,No
16,2019,1104301,3,11,43,1,1,0,2,1,1,0,No
17,2019,1106901,4,11,69,1,3,11,2,1,3,11,No
18,2019,1107501,4,11,75,1,1,8,2,1,1,8,No
19,2019,1109501,2,11,95,1,6,0,2,1,6,0,No
20,2019,1201301,4,12,13,1,1,3,2,1,1,3,No
21,2019,1206101,4,12,61,1,3,0,2,1,3,0,No
22,2019,1404101,4,14,41,1,0,8,2,1,0,8,No
23,2019,1504501,5,15,45,1,1,0,2,1,1,0,No
24,2019,1514501,4,15,145,1,5,0,2,1,5,0,No
25,2019,1518301,2,15,183,1,1,7,2,1,1,7,No
26,2019,1701901,5,17,19,1,0,1,2,1,0,1,No
27,2019,1704201,4,17,42,1,0,4,2,1,0,4,No
28,2019,1707401,5,17,74,1,1,6,2,1,1,6,No
29,2019,1710801,4,17,108,1,1,0,2,1,1,0,No
30,2019,1714101,4,17,141,1,1,7,1,1,1,7,Si
31,2019,1714101,5,17,141,1,0,2,2,2,0,2,No
32,2019,1715801,5,17,158,1,0,9,2,1,0,9,No
33,2019,2012501,3,20,125,1,0,6,2,1,0,6,No
34,2019,2012502,2,20,125,2,3,0,2,1,3,0,No
35,2019,2025301,4,20,253,1,2,0,2,1,2,0,No
36,2019,2100101,5,21,1,1,1,6,2,1,1,6,No
37,2019,2200201,3,22,2,1,4,98,2,1,4,No sabe,No
38,2019,2200401,5,22,4,1,5,0,1,1,5,0,Si
39,2019,2200401,6,22,4,1,2,0,2,2,2,0,No
40,2019,2205101,6,22,51,1,3,0,2,1,3,0,No
41,2019,2206901,3,22,69,1,3,0,2,1,3,0,No
42,2019,2210101,4,22,101,1,5,0,2,1,5,0,No
43,2019,2211801,3,22,118,1,2,98,2,1,2,No sabe,No
