,PS_WAWAWASI-ID1-anho,PS_WAWAWASI-HHID-identificacion_cuestionario_del_hogar,PS_WAWAWASI-HVIDX-numero_de_orden_en_el_hogar,PS_WAWAWASI-QHCLUSTER-conglomerado,PS_WAWAWASI-QHNUMBER-vivienda_seleccionada,PS_WAWAWASI-QHHOME-hogar_seleccionado,PS_WAWAWASI-PS107_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_WAWAWASI-PS107_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_WAWAWASI-PS107_1S-alguien_mas_es_beneficiario,PS_WAWAWASI-PS6-numero_de_orden,PS_WAWAWASI-PS107_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_WAWAWASI-PS107_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_WAWAWASI-PS107_1S-alguien_mas_es_beneficiario_LABEL
0,2019,1200401,4,12,4,1,0,3,2,1,0,3,No
1,2019,3708001,3,37,80,1,0,6,2,1,0,6,No
2,2019,4408901,3,44,89,1,0,5,2,1,0,5,No
3,2019,4708901,6,47,89,1,0,6,2,1,0,6,No
4,2019,6301201,4,63,12,1,1,0,2,1,1,0,No
5,2019,6701701,4,67,17,1,1,6,2,1,1,6,No
6,2019,7202901,3,72,29,1,0,9,1,1,0,9,Si
7,2019,7202901,4,72,29,1,0,9,2,2,0,9,No
8,2019,7303901,4,73,39,1,0,9,2,1,0,9,No
9,2019,7906301,5,79,63,1,1,2,2,1,1,2,No
10,2019,8605301,5,86,53,1,0,5,2,1,0,5,No
11,2019,8810101,7,88,101,1,2,1,2,1,2,1,No
12,2019,8901901,5,89,19,1,1,0,2,1,1,0,No
13,2019,9008801,3,90,88,1,0,7,2,1,0,7,No
14,2019,9702801,6,97,28,1,1,0,2,1,1,0,No
15,2019,11209501,3,112,95,1,0,1,2,1,0,1,No
16,2019,11210901,4,112,109,1,0,3,1,1,0,3,Si
17,2019,11210901,6,112,109,1,0,10,2,2,0,10,No
18,2019,11211001,4,112,110,1,0,2,2,1,0,2,No
19,2019,11406101,4,114,61,1,0,3,2,1,0,3,No
20,2019,11919301,7,119,193,1,0,5,2,1,0,5,No
21,2019,12404601,4,124,46,1,0,1,2,1,0,1,No
22,2019,12411801,8,124,118,1,1,6,2,1,1,6,No
23,2019,12715901,4,127,159,1,0,6,2,1,0,6,No
24,2019,12804501,3,128,45,1,1,0,2,1,1,0,No
25,2019,13011801,5,130,118,1,1,4,2,1,1,4,No
26,2019,13301401,3,133,14,1,1,0,2,1,1,0,No
27,2019,13311601,3,133,116,1,0,5,2,1,0,5,No
28,2019,13312101,5,133,121,1,1,11,2,1,1,11,No
29,2019,14302101,4,143,21,1,0,7,2,1,0,7,No
30,2019,14308501,3,143,85,1,0,4,2,1,0,4,No
31,2019,14409601,4,144,96,1,1,0,2,1,1,0,No
32,2019,14409701,4,144,97,1,0,8,2,1,0,8,No
33,2019,14410001,8,144,100,1,0,1,1,1,0,1,Si
34,2019,14410001,9,144,100,1,0,1,2,2,0,1,No
35,2019,14501101,4,145,11,1,2,1,2,1,2,1,No
36,2019,14501701,4,145,17,1,1,8,2,1,1,8,No
37,2019,14504001,5,145,40,1,0,5,2,1,0,5,No
38,2019,14507101,5,145,71,1,1,7,2,1,1,7,No
39,2019,14510701,5,145,107,1,0,5,2,1,0,5,No
40,2019,15209401,3,152,94,1,0,1,2,1,0,1,No
41,2019,15403501,5,154,35,1,0,1,2,1,0,1,No
42,2019,15707301,5,157,73,1,1,0,2,1,1,0,No
43,2019,18900401,4,189,4,1,1,4,2,1,1,4,No
44,2019,19201401,3,192,14,1,0,1,2,1,0,1,No
45,2019,19201801,5,192,18,1,0,1,1,1,0,1,Si
46,2019,19201801,9,192,18,1,2,0,2,2,2,0,No
47,2019,20008701,3,200,87,1,2,8,2,1,2,8,No
48,2019,22112601,3,221,126,1,0,9,2,1,0,9,No
49,2019,22409301,3,224,93,1,1,2,2,1,1,2,No
50,2019,23111201,4,231,112,1,0,6,2,1,0,6,No
51,2019,23408501,5,234,85,1,0,2,2,1,0,2,No
52,2019,23701801,5,237,18,1,0,1,2,1,0,1,No
53,2019,23709401,8,237,94,1,0,3,2,1,0,3,No
54,2019,23800301,6,238,3,1,0,8,2,1,0,8,No
55,2019,24404001,6,244,40,1,0,9,2,1,0,9,No
56,2019,24913201,4,249,132,1,0,6,2,1,0,6,No
57,2019,25206101,4,252,61,1,0,6,2,1,0,6,No
58,2019,25209801,3,252,98,1,1,9,2,1,1,9,No
59,2019,25512301,5,255,123,1,0,2,2,1,0,2,No
60,2019,25804801,6,258,48,1,1,0,2,1,1,0,No
61,2019,25903301,4,259,33,1,3,0,2,1,3,0,No
62,2019,26102101,5,261,21,1,0,2,2,1,0,2,No
63,2019,26201601,5,262,16,1,0,10,2,1,0,10,No
64,2019,26203701,5,262,37,1,2,0,2,1,2,0,No
65,2019,26205301,4,262,53,1,1,0,2,1,1,0,No
66,2019,26604101,4,266,41,1,0,2,2,1,0,2,No
67,2019,26605101,7,266,51,1,0,4,2,1,0,4,No
68,2019,26702401,5,267,24,1,0,8,2,1,0,8,No
69,2019,26808501,4,268,85,1,0,11,2,1,0,11,No
70,2019,27002001,6,270,20,1,0,3,2,1,0,3,No
71,2019,27004201,5,270,42,1,0,3,2,1,0,3,No
72,2019,27207301,4,272,73,1,0,1,2,1,0,1,No
73,2019,27209001,5,272,90,1,0,6,2,1,0,6,No
74,2019,27209301,4,272,93,1,1,3,2,1,1,3,No
75,2019,27900201,4,279,2,1,0,1,2,1,0,1,No
76,2019,27902201,9,279,22,1,1,0,2,1,1,0,No
77,2019,27905301,5,279,53,1,1,0,2,1,1,0,No
78,2019,28901801,4,289,18,1,0,4,2,1,0,4,No
79,2019,28903101,3,289,31,1,1,0,2,1,1,0,No
80,2019,28903201,4,289,32,1,0,3,2,1,0,3,No
